"","X","screen_name","user_id","prob_bot"
"719",36,"Man2bFree",126470364,0.00795136459533531
"721",38,"bobismijnfaam",29485735,0.0782755091448919
"723",40,"StupidlygeniusK",1132452127,0.00329106491886356
"724",41,"jeanettemarasi",146669173,0.00953391309854278
"726",43,"Ash_Wahal",453228713,0.0221224131724606
"727",44,"EmanoelWj",749056718110355456,0.472463659974175
"728",45,"mournepic",2861311861,0.0492161407667287
"729",46,"niiku_",1222083133,0.0572619187645042
"730",47,"rjoensk",23064514,0.0549143601830811
"735",52,"MYPSutrisno",628618824,0.012449366612971
"745",62,"AsAp__TyY",127999573,0.00552129971732118
"746",63,"J_Kings99",1273684303,0.407786285044474
"750",67,"STAMBOGA",202373094,0.0655731254199974
"755",72,"dedyrosyadi",118893770,0.013764153659937
"756",73,"freecolor88",952890444,0.270652475254813
"759",76,"MalikPerdana_MP",449428380,0.33569673055282
"763",80,"dan_castiel17",567573645,0.38761714805987
"764",81,"perosreinos",87401471,0.0331970279148303
"766",83,"shacknews",11999782,0.287027329121093
"767",84,"willgonzy",312858560,0.0599050223551827
"770",87,"tavobarrientos",3104781,0.416135097634513
"772",89,"ItsEfrainnn",228251845,0.00270361172745973
"773",90,"superfastmoe",176292392,0.320493933801888
"778",95,"k2503s",427848658,0.0383220449422918
"779",96,"DannielaZetina",467141146,0.034233127249529
"781",98,"DENNNYYY",257249838,0.459356364352243
"783",100,"gnarlymsmarley",283883200,0.00315637004944747
"784",101,"raistolo",526837239,0.0157087209321513
"786",103,"thirstythumbs",350448112,0.00559831984584856
"788",105,"tayyy_712",2833612568,0.00980242961704621
"789",106,"MiaYim",108200716,0.00451419665829112
"792",109,"ZuKKaPower",2218317662,0.0394753618951786
"794",111,"SirByronFilms",227470672,0.360065042165382
"795",112,"d2dedwad2",2543065584,0.363210046840204
"796",113,"SharkParade",529922994,0.00307080789549831
"798",115,"ValarianD",196640163,0.116277621261565
"799",116,"pedrocs",14660710,0.173510905095495
"802",119,"iiSmalz",742330285,0.0725269122603148
"803",120,"DarlaDonna",3105807752,0.091258247779858
"804",121,"woozygawd",634200707,0.110262402083154
"806",123,"otracally",805752102,0.104191705226654
"814",3,"ImSuperior_",315389595,0.0186966480993466
"821",10,"Joonies_Galaxy",828769639303938048,0.00304674578995888
"822",11,"Imperfectrese",60949248,0.384701180556966
"823",12,"henryejemuta",209059890,0.0345736945036069
"824",13,"Pab_MX",86587273,0.410385101760779
"826",15,"Patchidem",290708944,0.41539649850526
"827",16,"AutismJournal",201103731,0.00833621218830221
"832",21,"TechNinjaSpeaks",1321168639,0.00535269661598069
"835",24,"Carlos4719",1139639298,0.310237471559732
"836",25,"JarridWilson",17076385,0.0201402951660987
"837",26,"AlessandroErick",178743179,0.46566291913491
"839",28,"LordKaymak",262401708,0.0116575388742192
"840",29,"kitahamba",256336267,0.00867969355574493
"841",30,"JoesDaily",19462943,0.0284609629599359
"854",43,"genadinik",19393547,0.143383675427086
"857",46,"mollz_elizabeth",139576040,0.0129329775061688
"859",48,"MandiieeKillaaa",186707843,0.021162672668555
"860",49,"juanblanco76",217506104,0.356328589897589
"862",51,"jaapstronks",1605791,0.0987840756867885
"863",52,"GithakaKGithaka",3696573015,0.0084511507073416
"864",53,"Xovli",85707759,0.0172412320909434
"865",54,"Leboulonnais1",1647031086,0.0432296752105825
"866",55,"oliverarmie",2185762388,0.0220572927703303
"867",56,"EpicLPer",173754304,0.0229510384268048
"868",57,"Bra_Biney",151658472,0.0973396382730563
"869",58,"_adrees93",2337889485,0.0213855104572683
"870",59,"LamourRaven",451585807,0.355232258636642
"871",60,"TrudaOceans",176859552,0.206479922683333
"872",61,"OpenBlender_io",277551458,0.0235095102948664
"873",62,"xOahuBeachx",458674076,0.146418705526701
"874",63,"MexicanSwiftie_",183433612,0.338539497753868
"876",65,"Scientist_Mani",350005565,0.0167468713627953
"877",66,"ak47_twits",726289166,0.193715814305785
"879",68,"CoachKorey3",709878002,0.00427554298809219
"880",69,"YeahitsNoble",32993201,0.015234535218078
"881",70,"DanielStrauss4",75600769,0.0855726536456713
"883",72,"ArlindHalimi",264802033,0.0109282273486372
"887",76,"BuyDirectUSA",30095152,0.00623409894848027
"889",78,"Mz_Issey",276149113,0.0835897493612065
"890",79,"GothboyUK",250214902,0.372964495597802
"892",81,"boliheladoasd",1210699118,0.0127579326036957
"893",82,"chamchamp07",82555424,0.00879614913292181
"895",84,"NickieRen",916659277,0.187049659768244
"899",88,"PapillonFlacko",335703903,0.030203367483657
"902",91,"WhoTheCares",96165062,0.0348640378804303
"904",93,"v_greenlaw",239223097,0.381879855050772
"906",95,"alikamranes",2565481647,0.0597503100443882
"907",96,"lordoftheraki",1471984387,0.00862097616123967
"908",97,"CHaif_Q8",237902469,0.0112051553259178
"915",104,"KesusWalks",342605301,0.00881979177397962
"921",110,"josejacas",14712261,0.100252820441621
"923",112,"BlkDrgn88",43478554,0.1662384986953
"924",113,"kompromatkoffer",15272192,0.144844363834738
